"IndID","weeks_date","status","sex","birth_date","birth_year","last_date","death_year","death_month","season","hs_8km_natal","hs_8km_final","nterr_buffer50_first","area_buffer50_first","nterr_dens_buffer50_first","nterr_buffer50_last","area_buffer50_last","nterr_dens_buffer50_last"
123,148,1,"f",2018-05-01,2018,2021-03-05,2020,3,"Winter",0.33379345703125,0.218504287719727,3,5972.53504263935,3.9450492519021,4,5519.98443855,5.6913070834943
124,62,1,"m",2018-05-01,2018,2019-07-12,2019,7,"Summer",0.268533203125,0.230189376831055,7,7850.39343644152,7.00319950623292,1,3653.7055244006,2.14959349666335
125,123,1,"f",2018-05-01,2018,2020-09-11,2020,9,"Summer",0.304322784423828,0.225266067504883,17,7850.39343644156,17.0077702294227,23,7850.39343644149,23.0105126633368
126,54,1,"f",2018-05-01,2018,2019-05-20,2019,5,"Summer",0.276771820068359,0.279614593505859,19,7850.3934364416,19.0086843740606,23,7850.39343644157,23.0105126633366
127,39,1,"m",2018-05-01,2018,2019-01-30,2018,1,"Winter",0.440198120117188,0.377643737792969,11,7850.39343644151,11.0050277955089,8,7850.3934364416,8.00365657855182
128,121,0,"f",2018-05-01,2018,2020-08-29,2020,8,"Summer",0.233868179321289,0.228367752075195,3,7416.22355455806,3.17708126360917,6,7445.93509807794,6.32880748799586
129,48,0,"f",2018-05-01,2018,2019-04-07,2018,4,"Winter",0.428648132324219,0.411678558349609,16,7850.39343644165,16.0073131571036,16,7850.39343644168,16.0073131571035
130,54,1,"m",2018-05-01,2018,2019-05-15,2019,5,"Summer",0.459847900390625,0.178462905883789,14,7850.39343644152,14.0063990124658,5,5712.06517872814,6.87490547483849
131,55,1,"m",2018-05-01,2018,2019-05-21,2019,5,"Summer",0.33379345703125,0.351086456298828,3,5972.53504263935,3.9450492519021,4,6232.57303129241,5.04060303476033
132,71,1,"f",2018-05-01,2018,2019-09-15,2019,9,"Summer",0.423522094726562,0.397378997802734,17,7850.39343644155,17.0077702294227,20,7850.39343644175,20.0091414463792
133,64,0,"m",2018-05-01,2018,2019-07-26,2019,7,"Summer",0.428648132324219,0.462677886962891,16,7850.39343644165,16.0073131571036,20,7850.39343644153,20.0091414463797
134,183,0,"m",2018-05-01,2018,2021-11-02,2021,11,"Winter",0.433415924072266,0.419037689208984,13,7850.39343644157,13.0059419401468,16,7850.39343644167,16.0073131571035
135,71,1,"m",2018-05-01,2018,2019-09-12,2019,9,"Summer",0.149859939575195,0.149859939575195,4,7759.54704050942,4.04868046702832,6,7759.54704050942,6.07302070054248
136,65,0,"m",2018-05-01,2018,2019-07-31,2019,7,"Summer",0.233868179321289,0.274866027832031,3,7416.22355455806,3.17708126360917,5,7511.59203838517,5.22790747543241
137,28,1,"m",2019-05-01,2019,2019-11-17,2019,11,"Winter",0.250444717407227,0.203758575439453,4,7093.10245081333,4.42908117481027,6,7798.01741037096,6.0430603477718
138,20,0,"f",2019-05-01,2019,2019-09-24,2019,9,"Summer",0.291067901611328,0.314954467773437,19,7850.39343644177,19.0086843740602,18,7850.39343644162,18.0082273017415
139,102,0,"f",2019-05-01,2019,2021-04-19,2020,4,"Winter",0.304322784423828,0.288411010742188,21,7850.39343644156,21.0095985186986,19,7850.39343644159,19.0086843740606
140,82,1,"m",2018-05-01,2018,2019-11-30,2019,11,"Winter",0.349135620117188,0.187632873535156,12,7850.39343644155,12.0054848678278,19,7850.39343644138,19.0086843740611
141,72,1,"m",2019-05-01,2019,2020-09-22,2020,9,"Summer",0.250444717407227,0.268162750244141,4,7093.10245081333,4.42908117481027,0,3661.33815663098,0
142,58,1,"m",2019-05-01,2019,2020-06-11,2020,6,"Summer",0.428648132324219,0.553290466308594,20,7850.39343644165,20.0091414463794,22,7850.39343644162,22.0100555910175
143,99,0,"m",2019-05-01,2019,2021-03-25,2020,3,"Winter",0.533104431152344,0.478488250732422,22,7850.39343644154,22.0100555910177,21,7850.39343644141,21.009598518699
144,102,0,"f",2019-05-01,2019,2021-04-15,2020,4,"Winter",0.533104431152344,0.493891937255859,22,7850.39343644154,22.0100555910177,21,7850.39343644157,21.0095985186986
145,76,0,"m",2019-05-01,2019,2020-10-20,2020,10,"Summer",0.448219970703125,0.452004852294922,20,7850.39343644164,20.0091414463795,20,7850.3934364416,20.0091414463796
146,46,0,"m",2019-05-01,2019,2020-03-18,2019,3,"Winter",0.304322784423828,0.375097930908203,21,7850.39343644156,21.0095985186986,20,7850.39343644165,20.0091414463794
147,89,0,"f",2019-05-01,2019,2021-01-13,2020,1,"Winter",0.304322784423828,0.279187622070313,21,7850.39343644156,21.0095985186986,19,7850.39343644176,19.0086843740602
148,28,0,"m",2019-05-01,2019,2019-11-14,2019,11,"Winter",0.291067901611328,0.279181427001953,19,7850.39343644177,19.0086843740602,18,7850.39343644171,18.0082273017413
149,22,1,"f",2019-05-01,2019,2019-10-03,2019,10,"Summer",0.440198120117188,0.482290344238281,16,7850.39343644151,16.0073131571038,14,7850.39343644132,14.0063990124662
150,23,1,"m",2019-05-01,2019,2019-10-09,2019,10,"Summer",0.337049560546875,0.298087921142578,18,7850.39343644156,18.0082273017417,12,7850.39343644157,12.0054848678278
151,43,1,"m",2019-05-01,2019,2020-02-27,2019,2,"Winter",0.384158111572266,0.401247802734375,13,7850.39343644168,13.0059419401466,13,7850.39343644165,13.0059419401466
152,121,0,"m",2019-05-01,2019,2021-08-27,2021,8,"Summer",0.378715698242187,0.342618682861328,22,7850.39343644169,22.0100555910173,20,7850.3934364417,20.0091414463793
153,110,0,"m",2019-05-01,2019,2021-06-12,2021,6,"Summer",0.378715698242187,0.219108978271484,22,7850.39343644169,22.0100555910173,4,4529.83992114936,6.93532819763016
