"TerrID","FemID","MaleID","Repro","Npups","hs_8km","nterr_50km","area_buffer50km","densTerr_50km","Delta_bfem","sYear","nyears"
45,38,102,1,6,0.497890197753906,5,7850.39343644149,5.00228536159496,1,2016,4
48,125,146,1,7,0.448572784423828,6,7850.3934364417,6.00274243391379,1,2016,1
22,84,126,1,5,0.339547760009766,1,6774.51684787441,1.15934195904152,2,2016,2
38,93,147,1,6,0.485548095703125,8,7850.39343644151,8.00365657855191,1,2016,1
13,79,96,1,3,0.544908874511719,7,7850.3934364417,7.00319950623276,4,2016,4
160,62,129,1,3,0.424001129150391,7,7850.39343644171,7.00319950623274,2,2016,2
130,128,123,1,3,0.400232055664063,7,7850.39343644164,7.00319950623281,1,2016,1
111,134,131,1,5,0.428648132324219,7,7850.39343644171,7.00319950623275,1,2016,1
150,126,143,1,3,0.291335083007813,7,7850.39343644166,7.00319950623279,1,2016,1
64,89,108,1,4,0.458707702636719,11,7850.39343644156,11.0050277955088,3,2016,3
6,91,97,1,3,0.423261657714844,12,7850.39343644138,12.0054848678281,2,2016,4
3,4,95,1,2,0.506195190429688,10,7850.39343644153,10.0045707231899,8,2016,7
110,106,135,NA,0,0.362543731689453,9,7850.39343644155,9.00411365087086,1,2016,1
46,111,127,1,9,0.423834991455078,13,7850.39343644156,13.0059419401468,4,2016,4
94,136,125,1,5,0.291845123291016,9,7850.39343644169,9.0041136508707,2,2016,2
59,109,144,1,5,0.404322204589844,4,7850.39343644147,4.00182828927598,1,2016,1
132,131,133,NA,0,0.292225952148437,22,7805.72342437957,22.1360130962073,1,2016,2
1,172,149,1,3,0.326170227050781,27,7548.4303409608,28.0929272098601,1,2017,5
165,19,91,1,7,0.403861724853516,24,4755.53983821735,39.6370476597766,2,2017,8
144,143,NA,1,2,0.381402526855469,26,5450.79190356443,37.4630927204912,3,2017,3
66,100,152,1,1,0.340127716064453,28,6012.31228607794,36.576856837678,3,2017,3
63,44,194,1,1,0.335040435791016,27,7824.60153373057,27.101380588285,2,2017,2
125,68,139,1,7,0.293001617431641,21,7850.39343644152,21.0095985186988,3,2017,3
56,132,134,1,2,0.302595092773437,26,7845.27881794861,26.0288419598491,1,2017,1
8,80,174,1,4,0.395057006835937,24,7850.39343644147,24.0109697356559,5,2017,5
30,127,163,0,0,0.366527313232422,13,7850.39343644155,13.0059419401468,2,2017,2
57,105,111,1,1,0.382748626708984,23,7850.39343644149,23.0105126633368,3,2017,3
